DATE,GDPPOT
1958-01-01,3007.255499
1958-04-01,3034.314984
1958-07-01,3061.804149
1958-10-01,3090.7007329999997
1959-01-01,3120.055781
1959-04-01,3150.37669
1959-07-01,3182.378084
1959-10-01,3214.569925
1960-01-01,3247.590212
1960-04-01,3280.322655
1960-07-01,3313.239234
1960-10-01,3345.865071
1961-01-01,3378.9380409999994
1961-04-01,3411.201507
1961-07-01,3444.875675
1961-10-01,3478.866292
1962-01-01,3513.947061
1962-04-01,3549.9370670000003
1962-07-01,3586.8420560000004
1962-10-01,3624.4379590000003
1963-01-01,3662.5489
1963-04-01,3701.4911950000005
1963-07-01,3741.160921
1963-10-01,3781.6316409999995
1964-01-01,3822.175522
1964-04-01,3863.688366
1964-07-01,3905.6222770000004
1964-10-01,3947.758844
1965-01-01,3991.1421979999996
1965-04-01,4033.8666
1965-07-01,4078.250413
1965-10-01,4123.1726960000005
1966-01-01,4168.8714390000005
1966-04-01,4215.197572
1966-07-01,4262.257505
1966-10-01,4309.163157
1967-01-01,4356.832846
1967-04-01,4404.836952000001
1967-07-01,4453.170539
1967-10-01,4502.685428
1968-01-01,4552.7925829999995
1968-04-01,4603.034866
1968-07-01,4654.461894
1968-10-01,4706.730775
1969-01-01,4757.502398
1969-04-01,4806.3099219999995
1969-07-01,4852.888464
1969-10-01,4897.6381710000005
1970-01-01,4940.696005
1970-04-01,4981.9611270000005
1970-07-01,5021.865334
1970-10-01,5060.846011
1971-01-01,5099.8675140000005
1971-04-01,5139.664359
1971-07-01,5180.019968
1971-10-01,5221.049131000001
1972-01-01,5262.848204999999
1972-04-01,5305.199114999999
1972-07-01,5348.233602
1972-10-01,5391.931716
1973-01-01,5436.638132
1973-04-01,5483.479119
1973-07-01,5530.823888
1973-10-01,5579.191684
1974-01-01,5628.2080670000005
1974-04-01,5677.5352920000005
1974-07-01,5726.221413
1974-10-01,5774.225706
1975-01-01,5820.949249
1975-04-01,5866.698107
1975-07-01,5912.0394670000005
1975-10-01,5957.442983
1976-01-01,6002.779319
1976-04-01,6048.8705979999995
1976-07-01,6096.397204999999
1976-10-01,6144.696613
1977-01-01,6194.539002
1977-04-01,6245.583125
1977-07-01,6297.386545
1977-10-01,6350.619829
1978-01-01,6405.17138
1978-04-01,6460.824595
1978-07-01,6518.025697
1978-10-01,6576.182519
1979-01-01,6635.990629999999
1979-04-01,6693.770517
1979-07-01,6748.712367
1979-10-01,6800.226881999999
1980-01-01,6847.634303
1980-04-01,6890.338742
1980-07-01,6928.30332
1980-10-01,6968.307397
1981-01-01,7012.454856
1981-04-01,7059.687504
1981-07-01,7109.539837
1981-10-01,7161.927587
1982-01-01,7216.227666
1982-04-01,7271.853153
1982-07-01,7328.494387000001
1982-10-01,7386.243764
1983-01-01,7443.896284
1983-04-01,7502.919516
1983-07-01,7563.646648000001
1983-10-01,7626.8250180000005
1984-01-01,7692.461868
1984-04-01,7760.515031
1984-07-01,7830.227126000001
1984-10-01,7901.1672530000005
1985-01-01,7972.455818
1985-04-01,8044.179354000001
1985-07-01,8115.912314
1985-10-01,8187.1696
1986-01-01,8257.903613
1986-04-01,8328.256277
1986-07-01,8398.462686
1986-10-01,8468.412937000001
1987-01-01,8537.865392
1987-04-01,8606.721703
1987-07-01,8675.123969
1987-10-01,8743.466922
1988-01-01,8811.163227
1988-04-01,8878.906624
1988-07-01,8946.289698999999
1988-10-01,9013.711089
1989-01-01,9080.724913
1989-04-01,9147.609309
1989-07-01,9214.231015000001
1989-10-01,9280.70908
1990-01-01,9346.401061
1990-04-01,9411.54076
1990-07-01,9475.345475
1990-10-01,9537.764213
1991-01-01,9599.228894
1991-04-01,9659.582456999999
1991-07-01,9719.395445
1991-10-01,9779.411920999999
1992-01-01,9839.695264
1992-04-01,9900.903724
1992-07-01,9963.611115
1992-10-01,10027.17808
1993-01-01,10091.83144
1993-04-01,10158.09502
1993-07-01,10225.215059999999
1993-10-01,10293.34438
1994-01-01,10362.15083
1994-04-01,10431.453870000001
1994-07-01,10502.0394
1994-10-01,10573.50397
1995-01-01,10645.44718
1995-04-01,10718.38404
1995-07-01,10791.97582
1995-10-01,10867.24951
1996-01-01,10943.84666
1996-04-01,11025.22813
1996-07-01,11112.41283
1996-10-01,11205.07913
1997-01-01,11303.1523
1997-04-01,11405.95477
1997-07-01,11513.83021
1997-10-01,11625.620840000001
1998-01-01,11741.00851
1998-04-01,11859.98719
1998-07-01,11981.37113
1998-10-01,12104.95388
1999-01-01,12231.23624
1999-04-01,12359.030920000001
1999-07-01,12488.931929999999
1999-10-01,12620.98248
2000-01-01,12754.360779999999
2000-04-01,12885.124179999999
2000-07-01,13011.35339
2000-10-01,13131.940509999999
2001-01-01,13247.050790000001
2001-04-01,13356.23105
2001-07-01,13459.74276
2001-10-01,13557.75544
2002-01-01,13651.05743
2002-04-01,13741.164190000001
2002-07-01,13829.16054
2002-10-01,13915.99705
2003-01-01,14002.430730000002
2003-04-01,14089.703480000002
2003-07-01,14177.43914
2003-10-01,14266.45154
2004-01-01,14357.470659999999
2004-04-01,14450.387709999999
2004-07-01,14545.53009
2004-10-01,14642.1188
2005-01-01,14737.06692
2005-04-01,14829.41165
2005-07-01,14920.22884
2005-10-01,15008.944130000002
2006-01-01,15095.17155
2006-04-01,15179.350190000001
2006-07-01,15259.81899
2006-10-01,15336.4256
2007-01-01,15412.353219999999
2007-04-01,15488.018769999999
2007-07-01,15563.84539
2007-10-01,15638.79992
2008-01-01,15712.587930000002
2008-04-01,15783.67936
2008-07-01,15850.865909999999
2008-10-01,15913.83263
2009-01-01,15971.43506
2009-04-01,16025.00848
2009-07-01,16075.41788
2009-10-01,16124.363930000001
2010-01-01,16173.57497
2010-04-01,16224.42933
2010-07-01,16277.71519
2010-10-01,16333.15989
2011-01-01,16390.94732
2011-04-01,16450.9393
2011-07-01,16513.25732
2011-10-01,16577.27766
2012-01-01,16642.870769999998
2012-04-01,16710.46787
2012-07-01,16779.65575
2012-10-01,16850.14906
2013-01-01,16921.81411
2013-04-01,16994.85865
2013-07-01,17068.55201
2013-10-01,17143.44149
2014-01-01,17219.326259999998
2014-04-01,17296.15209
2014-07-01,17374.232659999998
2014-10-01,17453.034069999998
2015-01-01,17532.11313
2015-04-01,17611.17808
2015-07-01,17689.60324
2015-10-01,17766.76
2016-01-01,17843.15
2016-04-01,17918.15
2016-07-01,17991.97
2016-10-01,18065.05
2017-01-01,18137.7
2017-04-01,18211.07
2017-07-01,18287.13
2017-10-01,18365.29
2018-01-01,18446.4
2018-04-01,18530.51
2018-07-01,18617.42
2018-10-01,18705.53
2019-01-01,18794.82
2019-04-01,18885.48
2019-07-01,18976.49
2019-10-01,19065.58
2020-01-01,19153.98
2020-04-01,19242.04
2020-07-01,19327.31
2020-10-01,19414.16
2021-01-01,19502.76
2021-04-01,19594.22
2021-07-01,19687.7
2021-10-01,19783.14
2022-01-01,19879.59
2022-04-01,19975.45
2022-07-01,20069.86
2022-10-01,20163.71
2023-01-01,20257.32
2023-04-01,20351.17
2023-07-01,20446.02
2023-10-01,20541.69
2024-01-01,20637.95
2024-04-01,20734.14
2024-07-01,20830.52
2024-10-01,20927.13
2025-01-01,21023.61
2025-04-01,21118.88
2025-07-01,21213.51
2025-10-01,21307.43
2026-01-01,21400.7
2026-04-01,21493.12
2026-07-01,21585.4
2026-10-01,21677.75
2027-01-01,21770.32
2027-04-01,21862.94
2027-07-01,21956.05
2027-10-01,22049.48
2028-01-01,22143.34
2028-04-01,22238.32
2028-07-01,22334.33
2028-10-01,22431.37
2029-01-01,22529.37
2029-04-01,22628.05
2029-07-01,22726.65
2029-10-01,22825.11
2030-01-01,22923.58
2030-04-01,23022.07
2030-07-01,23120.63
2030-10-01,23219.35
2031-01-01,23318.31
2031-04-01,23417.38
2031-07-01,23516.38
2031-10-01,23615.28
